Id,Heading,Politik,Utbildning,Religion,Miljo,Ekonomi,LivsstilFritt,SamhälleKonflikter,Hälsa,Idrott,VetenskapTeknik
98,Jimmie Åkesson: Bra att Jomshof avgick,1,0,0,0,0,0,0,0,0,0
99,Nordnets app öppnad – efter fyra timmars avbrott,0,0,0,0,0,0,1,0,0,0
100,Rubiales: ”Frågade om jag fick kyssa henne”,0,0,0,0,0,0,1,0,0,0
101,DN Debatt Repliker. ”Det måste finnas gränser också för enskilda ministrar”,1,0,0,0,0,0,0,0,0,0
102,Tyst minut för offren i Örebro,0,0,0,0,0,0,1,0,0,0
103,Brist på applåder triggade Yoons beslut,0,0,0,0,0,1,0,0,0,0
104,Hela Sverige tystnade för att hedra offren,0,0,0,0,0,0,1,0,0,0
105,En person gripen för terrorbrott,0,0,0,0,0,0,1,0,0,0
106,IS-kvinna som förslavade barn dömd,0,0,0,0,0,0,1,0,0,0
107,”En bodydouble fungerar som ett mentalt ankare”,0,0,0,0,0,1,0,0,0,0
108,EU svarar på USA:s tullar,0,0,0,0,1,0,0,0,0,0
109,Stockholmskrog stängdes tillfälligt – råttor i köket,0,0,0,0,0,0,0,1,0,0
110,Utmaningen på VM-banorna: Lita inte på vad du ser,0,0,0,0,0,0,0,0,1,0
111,Klartecken för Norrbotniabanan,1,0,0,0,0,0,0,0,0,0
112,Annica Kvint: Snart bor vi i lägenheter utan både fönster och kök,0,0,0,0,0,1,0,0,0,0
113,Ingrosso och Gambino tävlar om Grammis,0,0,0,0,0,1,0,0,0,0
114,Brodern erkände hedersmord – ”pappa tvingade mig”,0,0,0,0,0,0,1,0,0,0
"115,""Bø-brödernas sista dans, svensk revanschjakt och upplagt för Marseljäsen – allt om skidskytte-VM 2025"",0,0,0,0,0,0,0,0,1,0"
116,Nytt nödläge efter grekiska skalv,0,0,0,1,0,0,0,0,0,0
117,Musk: Vilken mening har då demokratin?,1,0,0,0,0,0,0,0,0,0
118,Två av offren i Örebro arbetade på samma äldreboende,0,0,0,0,0,0,1,0,0,0
"119,""""""Olagligt"""" – EU-toppen sågar Trumps Gaza-plan"",1,0,0,0,0,0,0,0,0,0"
120,Misstänkt våldtäkt i badhus – man häktad,0,0,0,0,0,0,1,0,0,0
121,Österrike: Samtal om FPÖ-regering har kollapsat,1,0,0,0,0,0,0,0,0,0
122,Österrike: Samtal om FPÖ-regering har kollapsat,1,0,0,0,0,0,0,0,0,0
123,Hamas i Kairo för samtal om vapenvila,1,0,0,0,0,0,0,0,0,0
124,Våldsamma strider i norra Somalia,0,0,0,0,0,0,1,0,0,0
"125,""Ryssland säger nej till att """"byta"""" mark"",0,0,0,0,0,0,0,0,0,1"
126,Storasyster om det sexuella våldet: ”Olika uppfattning om samtycke”,0,0,0,0,0,0,1,0,0,0
127,Krigsrapporten 12/2,1,0,0,0,0,0,0,0,0,0
128,MP: Olämpligt för lärare söka igenom väskor,1,0,0,0,0,0,0,0,0,0
129,Sverige kan vara i krig om två år,0,0,0,0,0,0,0,0,0,1
130,'Arbogakvinnans' nya vädjan: Allt rasar helt,0,0,0,0,0,0,1,0,0,0
131,Hegseth: Orealistiskt med Ukrainas gamla gräns,1,0,0,0,0,0,0,0,0,0
132,Rickard Andersson i filmklipp: Indraget försörjningsstöd,0,0,0,0,0,0,1,0,0,0
133,Tyska gränskontroller förlängs inför valet,1,0,0,0,0,0,0,0,0,0
134,Syrien: Ny regering på plats i mars,1,0,0,0,0,0,0,0,0,0
135,Skolor ska ges rätt att söka i elevers väskor,0,1,0,0,0,0,0,0,0,0
136,Pressträff om skolsäkerheten,0,1,0,0,0,0,0,0,0,0
137,Anna Kinberg Batra-granskning nomineras i Årets dagstidning,1,0,0,0,0,0,0,0,0,0
138,FN: 1 400 dödades i Bangladesh i somras,0,0,0,0,0,0,0,0,0,1
139,Norsk partiledare pikar Expressen med klädval,0,0,0,0,0,1,0,0,0,0
140,Här får prins Harry ”opassande” presenten,0,0,0,0,0,0,0,0,0,1
141,Man fick ström genom kroppen – allvarligt skadad,0,0,0,0,0,0,0,1,0,0
142,Sekretessavtal för de som återställer Risbergska,1,0,0,0,0,0,0,0,0,0
"143,""Melania Trump, 54, – nu är det hon som bestämmer"",1,0,0,0,0,0,0,0,0,0"
144,Hur mjuk får en stenhård partiledare te sig?,1,0,0,0,0,0,0,0,0,0
145,Nya bilden på prinsessan Ines – med storebröderna,0,0,0,0,0,1,0,0,0,0
146,Utredning om mordet på FN-svenskan läggs ned,0,0,0,0,0,0,1,0,0,0
147,Bedragare utnyttjar massmordet i Örebro,0,0,0,0,0,0,1,0,0,0
148,Anfall mot Gaza då drönare siktades,1,0,0,0,0,0,0,0,0,0
149,Mordet på JFK: 2 400 dokument funna,0,0,0,0,0,0,0,0,0,1
150,Nordiskt toppmöte i Luleå om transporten på väg och järnväg,1,0,0,0,0,0,0,0,0,0
151,Bodensare backar den omtvistade ”mammakorven”,0,0,0,0,0,0,0,0,0,1
152,Hammarös skolchef om nya säkerhetskrav i skollagen: ”Otroligt komplext”,0,0,1,0,0,0,0,0,0,0
153,Anhölls för planer på våldsdåd i Lycksele – har nu släppts fri,0,0,0,0,0,0,1,0,0,0
154,Man åtalas för våldtäkt i Västerås – efter fem år på flykt,0,0,0,0,0,0,1,0,0,0
155,Sebastian Samuelsson föll i kamp om medalj i mixedstafetten,0,0,0,0,0,0,0,0,1,0
156,Man häktad – ska ha våldtagit barn på äventyrsbad i Boden,0,0,0,0,0,0,1,0,0,0
157,Skoterförare körde ner i ravin i Bjurholm – under skotersafari,0,0,0,0,0,0,1,0,0,0
158,SVT sänder live med anledning av Trumps och Musks nedskärningar,1,0,0,0,0,0,0,0,0,0
159,Mardröm med fall för Anna Magnusson på förstasträckan: ”Sjukt tråkigt”,0,0,0,0,0,0,0,0,0,1
160,Tre förskolor i Trosa kan läggas ner – föräldern Johanna: ”Stor rädsla”,0,0,1,0,0,0,0,0,1,0
161,Transportstyrelsen besked: Hinner inte med överklagan innan rallyt,0,0,0,0,0,0,0,0,1,0
162,Efter Europarekordet – Almgren klar för EM,0,0,0,0,0,0,0,0,1,0
163,Öresundsbron stängdes – efter biljakt,0,0,0,0,0,0,1,0,0,0
164,Stockholms stad vill dumpa förorenade massor i skärgården,0,0,0,1,0,0,0,0,0,0
165,Örebroare om bluffinsamlingen: ”Hur lågt kan man sjunka?”,0,0,0,0,0,0,0,0,0,1
166,Så kartläggs massmördarens sista timmar – fångades på bild,0,0,0,0,0,0,1,0,0,0
167,78 avkapade renklövar hittades mellan Åsarna och Klövsjö,0,0,0,0,0,0,1,0,0,0
168,Recension: ”Bridget Jones: Mad about the boy” med Renée Zellweger,0,0,0,0,0,0,0,0,0,1
169,Så pressade terapeuten Adam att berätta om påstådda övergreppen,0,0,0,0,0,0,1,0,0,0
